dataset,identity_id,split,expected_sex,editorial_ethnicity,expected_looks,image_path,before_raw,after_raw,raw_delta,before_display,after_display,before_abs_display_error,after_abs_display_error,display_error_improvement,before_rank_error,after_rank_error,rank_error_improvement,representative_image_before_raw,representative_image_after_raw,crop_requested_fits,crop_source_contained,crop_side_px,crop_shift_x_px,crop_shift_y_px,crop_pad_left_px,crop_pad_top_px,crop_pad_right_px,crop_pad_bottom_px,crop_padding_area_pct,crop_face_visible_pct,reliability
canonical,courtney-clenney,holdout,f,white,7.9,images/roster/courtney-clenney.jpg,3.329,3.414,0.08499999999999996,6.26295061719778,6.350540395511751,1.6370493828022203,1.5494596044882494,0.08758977831397097,0.06626506024096385,0.01807228915662651,0.04819277108433734,3.329,3.414,true,true,281.77,0,-9.58,0,0,0,0,0,100,
canonical,emma-blackery,train,f,white,6.5,images/roster/emma-blackery.jpg,4.013,3.936,-0.07699999999999996,7.294172191762441,7.04697713303816,0.7941721917624411,0.5469771330381601,0.24719505872428105,0.5783132530120482,0.5301204819277109,0.04819277108433728,4.013,3.936,true,true,273.35,0,-16.69,0,0,0,0,0,100,
canonical,ksi,train,m,black,6.8,images/roster/ksi.jpg,3.23,3.227,-0.0030000000000001137,6.170691976294273,6.167502370605907,0.6293080237057271,0.6324976293940932,-0.003189605688366015,0.03703703703703709,0.0,0.03703703703703709,3.23,3.227,true,true,313.48,0,-8.97,0,0,0,0,0,100,non-standard framing (head turned (~23°); head tilted sideways (~11°)) — scored on your override; expect a rougher read.
canonical,drake,validation,m,mixed,7.0,images/roster/drake.jpg,3.131,3.131,0.0,6.060508738348647,6.060508738348647,0.9394912616513533,0.9394912616513533,0.0,0.11728395061728403,0.09259259259259267,0.024691358024691357,3.131,3.131,false,true,154.6,0,0,10.28,0,0.32,0,6.86,100,"small/distant face (~93px of real detail) — score is rougher than a tight, sharp headshot."
canonical,jacob-elordi,validation,m,white,9.1,images/roster/jacob-elordi.jpg,3.639,3.655,0.016000000000000014,6.578583660226465,6.595840838791201,2.521416339773535,2.504159161208799,0.017257178564736186,0.16049382716049387,0.13580246913580252,0.024691358024691357,3.639,3.655,true,true,633.32,0,-165.1,0,0,0,0,0,77.5,non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read.
canonical,jason-momoa,train,m,mixed,9.0,images/roster/jason-momoa.jpg,3.694,3.722,0.028000000000000025,6.639524916036049,6.676918740388903,2.3604750839639506,2.3230812596110972,0.03739382435285332,0.09259259259259267,0.06790123456790131,0.024691358024691357,3.694,3.722,true,true,666.42,0,-134.79,0,0,0,0,0,85.68,
canonical,johnny-depp,holdout,m,white,9.0,images/roster/johnny-depp.jpg,3.683,3.683,0.0,6.625754282361101,6.625754282361101,2.3742457176388987,2.3742457176388987,0.0,0.1049382716049383,0.08024691358024694,0.024691358024691357,3.683,3.683,true,true,91.46,0,0,0,0,0,0,0,100,"small/distant face (~57px of real detail) — score is rougher than a tight, sharp headshot."
canonical,pedro-pascal,train,m,latino,7.5,images/roster/pedro-pascal.jpg,3.107,3.09,-0.017000000000000348,6.027319707322015,6.004516183026039,1.4726802926779854,1.4954838169739606,-0.022803524295975208,0.22222222222222227,0.1975308641975309,0.024691358024691357,3.107,3.09,true,true,760.64,0,-214.04,0,0,0,0,0,74.6,
canonical,xqc,train,m,white,5.4,images/roster/xqc.jpg,3.4,3.4,0.0,6.335815476570975,6.335815476570975,0.9358154765709745,0.9358154765709745,0.0,0.43827160493827166,0.4135802469135803,0.024691358024691357,3.4,3.4,true,true,239.86,0,0,0,0,0,0,0,100,
canonical,chris-hemsworth,holdout,m,white,9.5,images/roster/chris-hemsworth.jpg,3.216,3.216,0.0,6.155836578591342,6.155836578591342,3.344163421408658,3.344163421408658,0.0,0.5308641975308641,0.5061728395061729,0.024691358024691246,3.216,3.216,true,true,115.95,0,0,0,0,0,0,0,100,"small/distant face (~69px of real detail) — score is rougher than a tight, sharp headshot."
canonical,sabrina-carpenter,train,f,white,8.3,images/roster/sabrina-carpenter.jpg,3.908,3.878,-0.029999999999999805,6.985765017070862,6.93177437139803,1.3142349829291389,1.3682256286019703,-0.053990645672831405,0.1325301204819278,0.10843373493975905,0.024096385542168752,3.908,3.878,true,true,312.94,-20.82,0,0,0,0,0,0,100,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
canonical,selene-ashford,train,f,mixed,9.5,images/roster/selene-ashford.jpg,3.481,3.489,0.008000000000000007,6.409660107652988,6.4162120489949315,3.0903398923470116,3.0837879510050685,0.006551941341943035,0.4457831325301205,0.4216867469879517,0.024096385542168752,3.481,3.489,true,true,226,0,-27.78,0,0,0,0,0,96.79,non-standard framing (head tilted sideways (~19°)) — scored on your override; expect a rougher read.
canonical,gal-gadot,train,f,middle-eastern,9.0,images/roster/gal-gadot.jpg,3.469,3.469,0.0,6.399802904392788,6.399802904392788,2.6001970956072116,2.6001970956072116,0.0,0.37349397590361444,0.3493975903614458,0.02409638554216864,3.469,3.469,true,true,96.54,0,0,0,0,0,0,0,100,"small/distant face (~58px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head tilted sideways (~12°)) — scored on your override; expect a rougher read."
canonical,megan-fox,train,f,white,9.2,images/roster/megan-fox.jpg,3.944,3.982,0.038000000000000256,7.0687024739045805,7.177228503751267,2.131297526095419,2.0227714962487324,0.10852602984668636,0.10240963855421681,0.07831325301204817,0.02409638554216864,3.944,3.982,true,true,678.65,0,-41.64,0,0,0,0,0,100,
canonical,shakira,train,f,latino,8.4,images/roster/shakira.jpg,3.688,3.688,0.0,6.631617527596331,6.631617527596331,1.768382472403669,1.768382472403669,0.0,0.04216867469879515,0.01807228915662651,0.02409638554216864,3.688,3.688,true,true,477.62,0,0,0,0,0,0,0,100,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
canonical,john-mulaney,validation,m,white,6.8,images/roster/john-mulaney.jpg,3.557,3.557,0.0,6.480264053963814,6.480264053963814,0.31973594603618594,0.31973594603618594,0.0,0.24691358024691357,0.23456790123456783,0.012345679012345734,3.557,3.557,true,true,675.62,0,0,0,0,0,0,0,100,
canonical,roman-reigns,train,m,mixed,9.0,images/roster/roman-reigns.jpg,2.655,2.655,0.0,4.56121408515335,4.56121408515335,4.43878591484665,4.43878591484665,0.0,0.771604938271605,0.7592592592592593,0.012345679012345734,2.655,2.655,true,true,628.41,0,0,0,0,0,0,0,100,
canonical,russell-brand,holdout,m,white,7.0,images/roster/russell-brand.jpg,4.327,4.107,-0.21999999999999975,8.77708671092952,7.635652683963339,1.7770867109295203,0.6356526839633387,1.1414340269661816,0.43827160493827155,0.4259259259259258,0.012345679012345734,4.327,4.107,true,true,682.44,0,-98.94,0,0,0,0,0,93.7,
canonical,danny-devito,train,m,white,2.5,images/roster/danny-devito.jpg,2.833,2.833,0.0,5.464903528437804,5.464903528437804,2.9649035284378042,2.9649035284378042,0.0,0.2592592592592593,0.2469135802469136,0.012345679012345706,2.833,2.833,true,true,152.9,0,0,0,0,0,0,0,100,"small/distant face (~103px of real detail) — score is rougher than a tight, sharp headshot."
canonical,bill-gates,train,m,white,3.4,images/roster/bill-gates.jpg,2.874,2.874,0.0,5.59658174256126,5.59658174256126,2.19658174256126,2.19658174256126,0.0,0.25925925925925924,0.24691358024691357,0.012345679012345678,2.874,2.874,true,true,594.99,0,0,0,0,0,0,0,100,non-standard framing (head turned (~16°); head tilted sideways (~15°)) — scored on your override; expect a rougher read.
canonical,george-santos,train,m,latino,4.0,images/roster/george-santos.jpg,2.841,2.841,0.0,5.496100795420644,5.496100795420644,1.4961007954206442,1.4961007954206442,0.0,0.19753086419753085,0.18518518518518517,0.012345679012345678,2.841,2.841,true,true,91.28,0,0,0,0,0,0,0,100,"small/distant face (~55px of real detail) — score is rougher than a tight, sharp headshot."
canonical,james-corden,train,m,white,4.0,images/roster/james-corden.jpg,2.833,2.833,0.0,5.464903528437804,5.464903528437804,1.4649035284378042,1.4649035284378042,0.0,0.17901234567901236,0.16666666666666669,0.012345679012345678,2.833,2.833,true,true,101.72,0,0,0,0,0,0,0,100,"small/distant face (~62px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read."
canonical,seth-rogen,train,m,white,4.5,images/roster/seth-rogen.jpg,2.832,2.832,0.0,5.461002962220356,5.461002962220356,0.9610029622203564,0.9610029622203564,0.0,0.10493827160493827,0.09259259259259259,0.012345679012345678,2.832,2.832,true,true,101.36,0,0,0,0,0,0,0,100,"small/distant face (~63px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read."
canonical,ben-shapiro,validation,m,white,5.0,images/roster/ben-shapiro.jpg,3.524,3.524,0.0,6.445334870540916,6.445334870540916,1.4453348705409157,1.4453348705409157,0.0,0.5432098765432098,0.5308641975308642,0.012345679012345623,3.524,3.524,true,true,133.69,0,0,0,0,0,0,0,100,"small/distant face (~88px of real detail) — score is rougher than a tight, sharp headshot."
canonical,steve-buscemi,holdout,m,white,2.5,images/roster/steve-buscemi.jpg,2.918,2.918,0.0,5.713047294043459,5.713047294043459,3.2130472940434593,3.2130472940434593,0.0,0.31481481481481477,0.30246913580246915,0.012345679012345623,2.918,2.918,true,true,103.66,0,0,0,0,0,0,0,100,"small/distant face (~63px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read."
canonical,alice-lane,train,f,white,8.5,images/roster/alice-lane.jpg,3.808,3.808,0.0,6.799914609834101,6.799914609834101,1.7000853901658992,1.7000853901658992,0.0,0.01807228915662651,0.0060240963855421326,0.012048192771084376,3.808,3.808,true,true,169.26,0,0,0,0,0,0,0,100,"small/distant face (~107px of real detail) — score is rougher than a tight, sharp headshot."
canonical,jennifer-lawrence,holdout,f,white,8.1,images/roster/jennifer-lawrence.jpg,3.638,3.638,0.0,6.577341515951411,6.577341515951411,1.5226584840485886,1.5226584840485886,0.0,0.012048192771084376,0.0,0.012048192771084376,3.638,3.638,true,true,68.23,0,0,0,0,0,0,0,100,"small/distant face (~42px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read."
canonical,kylie-jenner,validation,f,white,7.5,images/roster/kylie-jenner.jpg,3.355,3.355,0.0,6.288408793837446,6.288408793837446,1.211591206162554,1.211591206162554,0.0,0.012048192771084376,0.0,0.012048192771084376,3.355,3.355,true,true,239.61,0,0,0,0,0,0,0,100,
canonical,monica-bellucci,train,f,white,9.5,images/roster/monica-bellucci.jpg,3.43,3.43,0.0,6.365728489948655,6.365728489948655,3.134271510051345,3.134271510051345,0.0,0.4819277108433735,0.4698795180722891,0.012048192771084376,3.43,3.43,true,true,619.31,0,0,0,0,0,0,0,100,non-standard framing (head tilted sideways (~13°)) — scored on your override; expect a rougher read.
canonical,blaire-white,train,f,white,7.0,images/roster/blaire-white.jpg,2.862,2.862,0.0,5.561432101219162,5.561432101219162,1.4385678987808381,1.4385678987808381,0.0,0.1566265060240964,0.14457831325301207,0.01204819277108432,2.862,2.862,true,true,261.91,0,0,0,0,0,0,0,100,
canonical,natalie-portman,validation,f,middle-eastern,8.0,images/roster/natalie-portman.jpg,3.53,3.53,0.0,6.451641387593652,6.451641387593652,1.5483586124063482,1.5483586124063482,0.0,0.02409638554216864,0.012048192771084376,0.012048192771084265,3.53,3.53,true,true,455.79,0,0,0,0,0,0,0,100,non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read.
canonical,amelia-dimoldenberg,holdout,f,white,7.2,images/roster/amelia-dimoldenberg.jpg,3.006,3.006,0.0,5.8788982956861675,5.8788982956861675,1.3211017043138327,1.3211017043138327,0.0,0.08433734939759036,0.08433734939759036,0.0,3.006,3.006,true,true,181.24,0,0,0,0,0,0,0,100,"small/distant face (~102px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read."
canonical,ana-de-armas,train,f,latino,9.4,images/roster/ana-de-armas.jpg,2.794,2.794,0.0,5.293078919088386,5.293078919088386,4.106921080911614,4.106921080911614,0.0,0.7951807228915663,0.7951807228915663,0.0,2.794,2.794,true,true,273.47,0,0,0,0,0,0,0,100,
canonical,andrew-tate,train,m,mixed,6.5,images/roster/andrew-tate.jpg,4.101,4.101,0.0,7.611889244577057,7.611889244577057,1.111889244577057,1.111889244577057,0.0,0.537037037037037,0.537037037037037,0.0,4.101,4.101,true,true,474.43,0,0,0,0,0,0,0,100,
canonical,anna-sorokin,holdout,f,white,5.5,images/roster/anna-sorokin.jpg,3.558,3.558,0.0,6.481331987417897,6.481331987417897,0.9813319874178967,0.9813319874178967,0.0,0.3674698795180723,0.3674698795180723,0.0,3.558,3.558,true,true,96.94,0,0,0,0,0,0,0,100,"small/distant face (~60px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read."
canonical,armie-hammer,train,m,white,8.0,images/roster/armie-hammer.jpg,3.377,3.377,0.0,6.311716295828227,6.311716295828227,1.6882837041717726,1.6882837041717726,0.0,0.11111111111111116,0.11111111111111116,0.0,3.377,3.377,true,true,97.94,0,0,0,0,0,0,0,100,"small/distant face (~58px of real detail) — score is rougher than a tight, sharp headshot."
canonical,aubrey-oday,validation,f,white,5.5,images/roster/aubrey-oday.jpg,4.224,4.224,0.0,8.186426716703206,8.186426716703206,2.686426716703206,2.686426716703206,0.0,0.7530120481927711,0.7530120481927711,0.0,4.224,4.224,true,true,516.08,0,0,0,0,0,0,0,100,
canonical,azealia-banks,validation,f,black,6.0,images/roster/azealia-banks.jpg,2.285,2.285,0.0,3.0774142934601705,3.0774142934601705,2.9225857065398295,2.9225857065398295,0.0,0.25903614457831325,0.25903614457831325,0.0,2.285,2.285,true,true,73.75,0,0,0,0,0,0,0,100,"small/distant face (~47px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read."
canonical,bella-hadid,train,f,mixed,9.3,images/roster/bella-hadid.jpg,2.869,2.869,0.0,5.581929931237963,5.581929931237963,3.718070068762038,3.718070068762038,0.0,0.7349397590361445,0.7349397590361445,0.0,2.869,2.869,true,true,542.7,0,0,0,0,0,0,0,100,non-standard framing (head tilted sideways (~17°)) — scored on your override; expect a rougher read.
canonical,beyonce,validation,f,black,8.9,images/roster/beyonce.jpg,2.684,2.684,0.0,4.711591206162555,4.711591206162555,4.1884087938374455,4.1884087938374455,0.0,0.7409638554216867,0.7409638554216867,0.0,2.684,2.684,true,true,332.85,0,0,0,0,0,0,0,100,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
canonical,brad-pitt,train,m,white,9.5,images/roster/brad-pitt.jpg,2.745,2.745,0.0,5.027982892206612,5.027982892206612,4.472017107793388,4.472017107793388,0.0,0.8024691358024691,0.8024691358024691,0.0,2.745,2.745,true,true,88.53,0,0,0,0,0,0,0,100,"small/distant face (~56px of real detail) — score is rougher than a tight, sharp headshot."
canonical,bruno-mars,validation,m,mixed,7.1,images/roster/bruno-mars.jpg,2.923,2.962,0.039000000000000146,5.721503967237891,5.800582195202443,1.3784960327621087,1.2994178047975566,0.0790782279645521,0.26543209876543217,0.26543209876543217,0.0,2.923,2.962,true,true,211.87,0,-0.47,0,0,0,0,0,100,non-standard framing (head turned (~17°); head tilted sideways (~13°)) — scored on your override; expect a rougher read.
canonical,callan-exorcist,holdout,f,white,8.6,images/roster/callan-exorcist.jpg,3.787,3.787,0.0,6.768587775522092,6.768587775522092,1.8314122244779076,1.8314122244779076,0.0,0.048192771084337394,0.048192771084337394,0.0,3.787,3.787,true,true,414.47,0,0,0,0,0,0,0,100,
canonical,chloe-grace-moretz,train,f,white,7.4,images/roster/chloe-grace-moretz.jpg,4.201,4.209,0.008000000000000007,8.07736712439765,8.126708784138472,0.6773671243976498,0.7267087841384718,-0.04934165974082205,0.5421686746987951,0.5421686746987951,0.0,4.201,4.209,true,true,626.15,0,-19.18,0,0,0,0,0,100,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
canonical,dan-bilzerian,train,m,white,6.0,images/roster/dan-bilzerian.jpg,3.964,3.964,0.0,7.122792989272079,7.122792989272079,1.122792989272079,1.122792989272079,0.0,0.5740740740740741,0.5740740740740741,0.0,3.964,3.964,true,true,630.39,0,0,0,0,0,0,0,100,
canonical,dolly-parton,train,f,white,8.0,images/roster/dolly-parton.jpg,2.439,2.439,0.0,3.6011635565306532,3.6011635565306532,4.398836443469347,4.398836443469347,0.0,0.5542168674698795,0.5542168674698795,0.0,2.439,2.439,true,true,586.37,0,0,0,0,0,0,0,100,
canonical,elizabeth-holmes,train,f,white,5.0,images/roster/elizabeth-holmes.jpg,3.603,3.603,0.0,6.534385588859299,6.534385588859299,1.5343855888592994,1.5343855888592994,0.0,0.47590361445783136,0.47590361445783136,0.0,3.603,3.603,true,true,118.15,0,0,0,0,0,0,0,100,"small/distant face (~67px of real detail) — score is rougher than a tight, sharp headshot."
canonical,elizabeth-olsen,holdout,f,white,8.0,images/roster/elizabeth-olsen.jpg,3.486,3.486,0.0,6.4137527265189265,6.4137527265189265,1.5862472734810735,1.5862472734810735,0.0,0.03614457831325302,0.03614457831325302,0.0,3.486,3.486,true,true,245.61,0,0,0,0,0,0,0,100,
canonical,elon-musk,train,m,white,5.5,images/roster/elon-musk.jpg,2.76,2.76,0.0,5.121101704313831,5.121101704313831,0.3788982956861693,0.3788982956861693,0.0,0.07407407407407407,0.07407407407407407,0.0,2.76,2.76,true,true,578.42,0,0,0,0,0,0,0,100,non-standard framing (head turned (~14°)) — scored on your override; expect a rougher read.
canonical,emma-stone,holdout,f,white,8.0,images/roster/emma-stone.jpg,2.87,2.87,0.0,5.584859524362546,5.584859524362546,2.415140475637454,2.415140475637454,0.0,0.3614457831325302,0.3614457831325302,0.0,2.87,2.87,true,true,78.9,0,0,0,0,0,0,0,100,"small/distant face (~51px of real detail) — score is rougher than a tight, sharp headshot."
canonical,emmy-rossum,validation,f,white,8.0,images/roster/emmy-rossum.jpg,4.053,4.053,0.0,7.451527082284779,7.451527082284779,0.5484729177152214,0.5484729177152214,0.0,0.3132530120481928,0.3132530120481928,0.0,4.053,4.053,true,true,498.72,0,0,0,0,0,0,0,100,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
canonical,evil-addams,holdout,f,white,7.8,images/roster/evil-addams.jpg,4.186,4.186,0.0,7.992650078368836,7.992650078368836,0.1926500783688363,0.1926500783688363,0.0,0.4578313253012048,0.4578313253012048,0.0,4.186,4.186,true,true,263.44,0,0,0,0,0,0,0,100,
canonical,farrah-abraham,validation,f,white,5.8,images/roster/farrah-abraham.jpg,2.746,2.746,0.0,5.035405314988457,5.035405314988457,0.7645946850115433,0.7645946850115433,0.0,0.10843373493975902,0.10843373493975902,0.0,2.746,2.746,true,true,73.63,0,0,0,0,0,0,0,100,"small/distant face (~42px of real detail) — score is rougher than a tight, sharp headshot."
canonical,frivolousfox,holdout,f,white,7.2,images/roster/frivolousfox.jpg,3.747,3.747,0.0,6.7119494582389265,6.7119494582389265,0.48805054176107365,0.48805054176107365,0.0,0.32530120481927705,0.32530120481927705,0.0,3.747,3.747,false,true,385.7,0,0,31.08,62.37,54.62,23.33,39.5,100,non-standard framing (head tilted sideways (~13°)) — scored on your override; expect a rougher read.
canonical,glen-powell,validation,m,white,8.7,images/roster/glen-powell.jpg,3.314,3.314,0.0,6.249415913531222,6.249415913531222,2.450584086468777,2.450584086468777,0.0,0.2407407407407408,0.2407407407407408,0.0,3.314,3.314,true,true,233.13,0,0,0,0,0,0,0,100,
canonical,hailee-steinfeld,train,f,mixed,8.0,images/roster/hailee-steinfeld.jpg,2.606,2.606,0.0,4.301605620310244,4.301605620310244,3.6983943796897556,3.6983943796897556,0.0,0.5180722891566265,0.5180722891566265,0.0,2.606,2.606,true,true,360.85,0,0,0,0,0,0,0,100,
canonical,ihascupquake,train,f,latino,6.5,images/roster/ihascupquake.jpg,2.607,2.607,0.0,4.306659882859396,4.306659882859396,2.193340117140604,2.193340117140604,0.0,0.22891566265060243,0.22891566265060243,0.0,2.607,2.607,true,true,182.96,0,0,0,0,0,0,0,100,"small/distant face (~104px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head tilted sideways (~11°)) — scored on your override; expect a rougher read."
canonical,ishowspeed,train,m,black,6.0,images/roster/ishowspeed.jpg,2.506,2.506,0.0,3.885252825647725,3.885252825647725,2.114747174352275,2.114747174352275,0.0,0.24074074074074076,0.24074074074074076,0.0,2.506,2.506,true,true,563.48,0,0,0,0,0,0,0,100,
canonical,jack-black,train,m,white,4.5,images/roster/jack-black.jpg,2.287,2.287,0.0,3.084354740613749,3.084354740613749,1.4156452593862512,1.4156452593862512,0.0,0.09259259259259259,0.09259259259259259,0.0,2.287,2.287,true,true,75.42,0,0,0,0,0,0,0,100,"small/distant face (~51px of real detail) — score is rougher than a tight, sharp headshot."
canonical,jenelle-evans,train,f,white,5.5,images/roster/jenelle-evans.jpg,3.014,3.014,0.0,5.892705505013487,5.892705505013487,0.39270550501348733,0.39270550501348733,0.0,0.09036144578313254,0.09036144578313254,0.0,3.014,3.014,true,true,591.95,0,0,0,0,0,0,0,100,
canonical,jennifer-haben,train,f,white,8.9,images/roster/jennifer-haben.jpg,2.714,2.714,0.0,4.854992967553543,4.854992967553543,4.045007032446457,4.045007032446457,0.0,0.7168674698795181,0.7168674698795181,0.0,2.714,2.714,true,true,247.37,0,0,0,0,0,0,0,100,non-standard framing (head turned (~22°); head tilted sideways (~12°)) — scored on your override; expect a rougher read.
canonical,jo-brand,holdout,f,white,3.0,images/roster/jo-brand.jpg,2.646,2.646,0.0,4.520162959723721,4.520162959723721,1.520162959723721,1.520162959723721,0.0,0.0783132530120482,0.0783132530120482,0.0,2.646,2.646,true,true,86.44,0,0,0,0,0,0,0,100,"small/distant face (~52px of real detail) — score is rougher than a tight, sharp headshot."
canonical,joe-exotic,train,m,white,3.0,images/roster/joe-exotic.jpg,2.228,2.228,0.0,2.8327488586630465,2.8327488586630465,0.1672511413369535,0.1672511413369535,0.0,0.012345679012345678,0.012345679012345678,0.0,2.228,2.228,true,true,255.9,0,0,0,0,0,0,0,100,
canonical,jon-gosselin,train,m,mixed,4.5,images/roster/jon-gosselin.jpg,2.587,2.561,-0.026000000000000245,4.228460196932708,4.115955013455542,0.2715398030672924,0.38404498654445796,-0.11250518347716554,0.018518518518518517,0.018518518518518517,0.0,2.587,2.561,true,true,293.07,-6.51,-23.87,0,0,0,0,0,100,non-standard framing (head turned (~16°)) — scored on your override; expect a rougher read.
canonical,jonah-hill,train,m,white,5.5,images/roster/jonah-hill.jpg,3.377,3.377,0.0,6.311716295828227,6.311716295828227,0.8117162958282274,0.8117162958282274,0.0,0.3395061728395062,0.3395061728395062,0.0,3.377,3.377,true,true,106.38,0,0,0,0,0,0,0,100,"small/distant face (~65px of real detail) — score is rougher than a tight, sharp headshot."
canonical,jungkook,train,m,east-asian,8.0,images/roster/jungkook.jpg,4.05,4.05,0.0,7.440003808173149,7.440003808173149,0.5599961918268512,0.5599961918268512,0.0,0.21604938271604934,0.21604938271604934,0.0,4.05,4.05,true,true,582.18,0,0,0,0,0,0,0,100,
canonical,justin-bieber,train,m,white,7.5,images/roster/justin-bieber.jpg,3.973,3.973,0.0,7.1481669401519445,7.1481669401519445,0.35183305984805546,0.35183305984805546,0.0,0.28395061728395055,0.28395061728395055,0.0,3.973,3.973,false,true,908.34,0,0,69.35,27.41,58.99,100.93,26.26,98.44,
