identity_id,expected_sex,expected_looks,label_band,split,gallery_image_count,editorial_ethnicity,demographic_metadata_source
adele,f,6.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
emma-blackery,f,6.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
emma-stone,f,8.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
emma-watson,f,8.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
emmy-rossum,f,8.0,high_ge_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
evil-addams,f,7.8,middle_5_5_to_lt_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
farrah-abraham,f,5.8,middle_5_5_to_lt_8,validation,2,white,matchmaker.html explicit editorial field; not image-inferred
frivolousfox,f,7.2,middle_5_5_to_lt_8,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
gab-smolders,f,6.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
gal-gadot,f,9.0,high_ge_8,train,5,middle-eastern,matchmaker.html explicit editorial field; not image-inferred
george-clooney,m,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
george-santos,m,4.0,low_lt_5_5,train,3,latino,matchmaker.html explicit editorial field; not image-inferred
gibi-asmr,f,7.2,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
glen-powell,m,8.7,high_ge_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
grimes,f,7.0,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
hailee-steinfeld,f,8.0,high_ge_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
harry-styles,m,8.0,high_ge_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
hasan-piker,m,8.2,high_ge_8,holdout,3,middle-eastern,matchmaker.html explicit editorial field; not image-inferred
henry-cavill,m,9.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
idris-elba,m,9.0,high_ge_8,train,5,black,matchmaker.html explicit editorial field; not image-inferred
ihascupquake,f,6.5,middle_5_5_to_lt_8,train,4,latino,matchmaker.html explicit editorial field; not image-inferred
ishowspeed,m,6.0,middle_5_5_to_lt_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
jack-black,m,4.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
jacob-elordi,m,9.1,high_ge_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
james-corden,m,4.0,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
jason-momoa,m,9.0,high_ge_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
jeff-bezos,m,3.0,low_lt_5_5,holdout,2,white,matchmaker.html explicit editorial field; not image-inferred
jenelle-evans,f,5.5,middle_5_5_to_lt_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
jennifer-haben,f,8.9,high_ge_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
jennifer-lawrence,f,8.1,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
jensen-huang,m,5.3,low_lt_5_5,holdout,4,east-asian,matchmaker.html explicit editorial field; not image-inferred
jo-brand,f,3.0,low_lt_5_5,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
joe-exotic,m,3.0,low_lt_5_5,train,2,white,matchmaker.html explicit editorial field; not image-inferred
joe-rogan,m,5.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
john-mulaney,m,6.8,middle_5_5_to_lt_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
johnny-depp,m,9.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
jon-gosselin,m,4.5,low_lt_5_5,train,4,mixed,matchmaker.html explicit editorial field; not image-inferred
jonah-hill,m,5.5,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
jordan-peterson,m,6.2,middle_5_5_to_lt_8,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
jungkook,m,8.0,high_ge_8,train,5,east-asian,matchmaker.html explicit editorial field; not image-inferred
justin-bieber,m,7.5,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
kai-cenat,m,6.3,middle_5_5_to_lt_8,train,2,black,matchmaker.html explicit editorial field; not image-inferred
kanye-west,m,6.0,middle_5_5_to_lt_8,holdout,4,black,matchmaker.html explicit editorial field; not image-inferred
kato-kaelin,m,5.0,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
keanu-reeves,m,8.5,high_ge_8,train,4,mixed,matchmaker.html explicit editorial field; not image-inferred
keira-metz,f,8.0,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
kendrick-lamar,m,6.1,middle_5_5_to_lt_8,validation,4,black,matchmaker.html explicit editorial field; not image-inferred
kevin-federline,m,5.5,middle_5_5_to_lt_8,holdout,3,white,matchmaker.html explicit editorial field; not image-inferred
kevin-hart,m,5.6,middle_5_5_to_lt_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
kim-kardashian,f,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
ksi,m,6.8,middle_5_5_to_lt_8,train,2,black,matchmaker.html explicit editorial field; not image-inferred
kumail-nanjiani,m,6.4,middle_5_5_to_lt_8,holdout,4,south-asian,matchmaker.html explicit editorial field; not image-inferred
kylie-jenner,f,7.5,middle_5_5_to_lt_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
lana-condor,f,8.0,high_ge_8,validation,5,east-asian,matchmaker.html explicit editorial field; not image-inferred
lebron-james,m,7.0,middle_5_5_to_lt_8,validation,5,black,matchmaker.html explicit editorial field; not image-inferred
lena-dunham,f,3.5,low_lt_5_5,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
leonardo-dicaprio,m,9.3,high_ge_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
lewis-capaldi,m,4.8,low_lt_5_5,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
lilypichu,f,7.0,middle_5_5_to_lt_8,train,3,east-asian,matchmaker.html explicit editorial field; not image-inferred
lionel-messi,m,6.5,middle_5_5_to_lt_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
lisa-blackpink,f,8.9,high_ge_8,validation,3,east-asian,matchmaker.html explicit editorial field; not image-inferred
lizzo,f,5.0,low_lt_5_5,train,4,black,matchmaker.html explicit editorial field; not image-inferred
logan-paul,m,7.3,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
mama-june,f,3.5,low_lt_5_5,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
margot-robbie,f,9.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
marina-laswick,f,8.9,high_ge_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
mark-zuckerberg,m,3.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
martin-shkreli,m,4.0,low_lt_5_5,train,2,white,matchmaker.html explicit editorial field; not image-inferred
marz,f,7.8,middle_5_5_to_lt_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
maya-higa,f,7.4,middle_5_5_to_lt_8,train,3,mixed,matchmaker.html explicit editorial field; not image-inferred
megan-fox,f,9.2,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
melissa-bonny,f,7.9,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
michael-b-jordan,m,9.0,high_ge_8,validation,5,black,matchmaker.html explicit editorial field; not image-inferred
michael-phelps,m,6.7,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
mila-kunis,f,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
mindy-kaling,f,5.5,middle_5_5_to_lt_8,holdout,5,south-asian,matchmaker.html explicit editorial field; not image-inferred
monica-bellucci,f,9.5,high_ge_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
mrbeast,m,6.1,middle_5_5_to_lt_8,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
nadya-suleman,f,4.0,low_lt_5_5,holdout,3,white,matchmaker.html explicit editorial field; not image-inferred
natalie-portman,f,8.0,high_ge_8,validation,5,middle-eastern,matchmaker.html explicit editorial field; not image-inferred
neymar,m,7.6,middle_5_5_to_lt_8,holdout,4,latino,matchmaker.html explicit editorial field; not image-inferred
nicolas-cage,m,7.0,middle_5_5_to_lt_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
ninja,m,6.6,middle_5_5_to_lt_8,validation,3,white,matchmaker.html explicit editorial field; not image-inferred
paul-rudd,m,7.0,middle_5_5_to_lt_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
pauly-shore,m,4.0,low_lt_5_5,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
pedro-pascal,m,7.5,middle_5_5_to_lt_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
pete-davidson,m,5.0,low_lt_5_5,train,4,white,matchmaker.html explicit editorial field; not image-inferred
pewdiepie,m,7.1,middle_5_5_to_lt_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
philippa-eilhart,f,7.0,middle_5_5_to_lt_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
piia-tamare,f,8.3,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
pokimane,f,7.4,middle_5_5_to_lt_8,train,5,middle-eastern,matchmaker.html explicit editorial field; not image-inferred
pom-klementieff,f,7.5,middle_5_5_to_lt_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
prince-harry,m,7.2,middle_5_5_to_lt_8,validation,3,white,matchmaker.html explicit editorial field; not image-inferred
priyanka-chopra,f,8.8,high_ge_8,holdout,4,south-asian,matchmaker.html explicit editorial field; not image-inferred
qtcinderella,f,7.0,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
rachel-dolezal,f,4.0,low_lt_5_5,holdout,2,white,matchmaker.html explicit editorial field; not image-inferred
rami-malek,m,6.8,middle_5_5_to_lt_8,train,3,middle-eastern,matchmaker.html explicit editorial field; not image-inferred
rebel-wilson,f,5.4,low_lt_5_5,train,4,white,matchmaker.html explicit editorial field; not image-inferred
rihanna,f,9.1,high_ge_8,validation,4,black,matchmaker.html explicit editorial field; not image-inferred
robert-pattinson,m,8.9,high_ge_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
roman-reigns,m,9.0,high_ge_8,train,4,mixed,matchmaker.html explicit editorial field; not image-inferred
rosa-salazar,f,7.0,middle_5_5_to_lt_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
roseanne-barr,f,3.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
rosie-odonnell,f,3.8,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
rudy-giuliani,m,3.5,low_lt_5_5,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
russell-brand,m,7.0,middle_5_5_to_lt_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
ryan-gosling,m,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
ryan-reynolds,m,8.0,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
sabrina-carpenter,f,8.3,high_ge_8,train,3,white,matchmaker.html explicit editorial field; not image-inferred
sam-bankman-fried,m,3.0,low_lt_5_5,train,2,white,matchmaker.html explicit editorial field; not image-inferred
scarlett-johansson,f,9.2,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
selene-ashford,f,9.5,high_ge_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
serena-williams,f,6.4,middle_5_5_to_lt_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
seth-rogen,m,4.5,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
shaelah-mcgilton,f,8.4,high_ge_8,validation,1,mixed,matchmaker.html explicit editorial field; not image-inferred
shakira,f,8.4,high_ge_8,train,4,latino,matchmaker.html explicit editorial field; not image-inferred
shia-labeouf,m,6.5,middle_5_5_to_lt_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
shohei-ohtani,m,7.5,middle_5_5_to_lt_8,train,3,east-asian,matchmaker.html explicit editorial field; not image-inferred
simone-biles,f,6.5,middle_5_5_to_lt_8,validation,4,black,matchmaker.html explicit editorial field; not image-inferred
simu-liu,m,7.7,middle_5_5_to_lt_8,train,3,east-asian,matchmaker.html explicit editorial field; not image-inferred
snoop-dogg,m,5.4,low_lt_5_5,validation,4,black,matchmaker.html explicit editorial field; not image-inferred
sofia-vergara,f,8.8,high_ge_8,validation,4,latino,matchmaker.html explicit editorial field; not image-inferred
spencer-pratt,m,5.5,middle_5_5_to_lt_8,train,4,white,matchmaker.html explicit editorial field; not image-inferred
steve-buscemi,m,2.5,low_lt_5_5,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
susan-boyle,f,3.0,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
sydney-sweeney,f,9.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
taylor-swift,f,7.5,middle_5_5_to_lt_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
tekashi-6ix9ine,m,4.0,low_lt_5_5,validation,4,latino,matchmaker.html explicit editorial field; not image-inferred
the-weeknd,m,6.0,middle_5_5_to_lt_8,train,5,black,matchmaker.html explicit editorial field; not image-inferred
tifa-lockhart,f,9.5,high_ge_8,train,5,other,matchmaker.html explicit editorial field; not image-inferred
tila-tequila,f,5.0,low_lt_5_5,train,5,east-asian,matchmaker.html explicit editorial field; not image-inferred
timothee-chalamet,m,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
tom-brady,m,8.0,high_ge_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
tom-cruise,m,8.7,high_ge_8,validation,4,white,matchmaker.html explicit editorial field; not image-inferred
tonya-harding,f,4.0,low_lt_5_5,holdout,4,white,matchmaker.html explicit editorial field; not image-inferred
travis-kelce,m,7.0,middle_5_5_to_lt_8,validation,5,white,matchmaker.html explicit editorial field; not image-inferred
trisha-paytas,f,5.0,low_lt_5_5,train,5,white,matchmaker.html explicit editorial field; not image-inferred
triss-merigold,f,8.5,high_ge_8,train,5,white,matchmaker.html explicit editorial field; not image-inferred
tyson-fury,m,5.6,middle_5_5_to_lt_8,train,2,white,matchmaker.html explicit editorial field; not image-inferred
usain-bolt,m,7.7,middle_5_5_to_lt_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
valkyrae,f,8.0,high_ge_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
vera-lux,f,9.0,high_ge_8,holdout,5,white,matchmaker.html explicit editorial field; not image-inferred
victoria-justice,f,8.5,high_ge_8,train,5,latino,matchmaker.html explicit editorial field; not image-inferred
whispersred,f,6.0,middle_5_5_to_lt_8,holdout,2,white,matchmaker.html explicit editorial field; not image-inferred
whoopi-goldberg,f,3.5,low_lt_5_5,validation,5,black,matchmaker.html explicit editorial field; not image-inferred
will-smith,m,8.3,high_ge_8,train,4,black,matchmaker.html explicit editorial field; not image-inferred
xqc,m,5.4,low_lt_5_5,train,2,white,matchmaker.html explicit editorial field; not image-inferred
zayn-malik,m,8.5,high_ge_8,validation,5,mixed,matchmaker.html explicit editorial field; not image-inferred
zendaya,f,9.0,high_ge_8,train,5,mixed,matchmaker.html explicit editorial field; not image-inferred
