identity_id,expected_looks,expected_sex,editorial_ethnicity,split,image_id,relative_path,filename,timestamp,outcome,refusal_reason,model_raw,bp,cv,sex,sex_conf,sex_source,reliability
amelia-dimoldenberg,7.2,f,white,holdout,amelia-dimoldenberg/2.jpg,images/roster/amelia-dimoldenberg/2.jpg,2.jpg,2026-08-18T10:57:32.991Z,scored,,4.132,7.74,7.74,f,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
amelia-dimoldenberg,7.2,f,white,holdout,amelia-dimoldenberg/3.jpg,images/roster/amelia-dimoldenberg/3.jpg,3.jpg,2026-08-18T10:57:33.174Z,scored,,4.046,7.42,7.42,f,100%,model,
amelia-dimoldenberg,7.2,f,white,holdout,amelia-dimoldenberg/4.jpg,images/roster/amelia-dimoldenberg/4.jpg,4.jpg,2026-08-18T10:57:33.381Z,scored,,3.424,6.36,6.36,f,100%,model,
amelia-dimoldenberg,7.2,f,white,holdout,amelia-dimoldenberg/5.jpg,images/roster/amelia-dimoldenberg/5.jpg,5.jpg,2026-08-18T10:57:33.566Z,scored,,4.032,7.37,7.37,f,100%,model,
amy-schumer,4.5,f,white,train,amy-schumer/2.jpg,images/roster/amy-schumer/2.jpg,2.jpg,2026-08-18T10:57:33.761Z,scored,,3.989,7.20,7.20,f,100%,model,non-standard framing (head turned (~22°)) — scored on your override; expect a rougher read.
amy-schumer,4.5,f,white,train,amy-schumer/4.jpg,images/roster/amy-schumer/4.jpg,4.jpg,2026-08-18T10:57:33.941Z,scored,,2.945,5.77,5.77,f,97%,model,"small/distant face (~70px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~23°)) — scored on your override; expect a rougher read."
amy-schumer,4.5,f,white,train,amy-schumer/5.jpg,images/roster/amy-schumer/5.jpg,5.jpg,2026-08-18T10:57:34.127Z,scored,,3.717,6.67,6.67,f,100%,model,non-standard framing (head turned (~18°)) — scored on your override; expect a rougher read.
amy-schumer,4.5,f,white,train,amy-schumer/6.jpg,images/roster/amy-schumer/6.jpg,6.jpg,2026-08-18T10:57:34.324Z,scored,,4.046,7.42,7.42,f,100%,model,
amy-schumer,4.5,f,white,train,amy-schumer/7.jpg,images/roster/amy-schumer/7.jpg,7.jpg,2026-08-18T10:57:34.513Z,scored,,3.384,6.32,6.32,f,100%,model,
ana-de-armas,9.4,f,latino,train,ana-de-armas/1.jpg,images/roster/ana-de-armas/1.jpg,1.jpg,2026-08-18T10:57:34.712Z,scored,,3.284,6.22,6.22,f,100%,model,non-standard framing (head tilted sideways (~12°)) — scored on your override; expect a rougher read.
ana-de-armas,9.4,f,latino,train,ana-de-armas/2.jpg,images/roster/ana-de-armas/2.jpg,2.jpg,2026-08-18T10:57:34.894Z,scored,,3.188,6.13,6.13,f,100%,model,
ana-de-armas,9.4,f,latino,train,ana-de-armas/3.jpg,images/roster/ana-de-armas/3.jpg,3.jpg,2026-08-18T10:57:35.087Z,scored,,3.948,7.08,7.08,f,99%,model,
ana-de-armas,9.4,f,latino,train,ana-de-armas/4.jpg,images/roster/ana-de-armas/4.jpg,4.jpg,2026-08-18T10:57:35.281Z,scored,,3.311,6.25,6.25,f,100%,model,non-standard framing (head turned (~15°)) — scored on your override; expect a rougher read.
ana-de-armas,9.4,f,latino,train,ana-de-armas/5.jpg,images/roster/ana-de-armas/5.jpg,5.jpg,2026-08-18T10:57:35.489Z,scored,,4.153,7.83,7.83,f,99%,model,
andrew-tate,6.5,m,mixed,train,andrew-tate/1.jpg,images/roster/andrew-tate/1.jpg,1.jpg,2026-08-18T10:57:35.689Z,scored,,3.439,6.37,6.37,m,100%,model,non-standard framing (head turned (~21°)) — scored on your override; expect a rougher read.
andrew-tate,6.5,m,mixed,train,andrew-tate/2.jpg,images/roster/andrew-tate/2.jpg,2.jpg,2026-08-18T10:57:35.876Z,scored,,4.126,7.71,7.71,m,100%,model,
angela-deem,2.5,f,white,train,angela-deem/1.jpg,images/roster/angela-deem/1.jpg,1.jpg,2026-08-18T10:57:36.068Z,scored,,3.229,6.17,6.17,f,100%,model,
angela-deem,2.5,f,white,train,angela-deem/2.jpg,images/roster/angela-deem/2.jpg,2.jpg,2026-08-18T10:57:36.273Z,scored,,3.910,6.99,6.99,f,100%,model,
angela-deem,2.5,f,white,train,angela-deem/3.jpg,images/roster/angela-deem/3.jpg,3.jpg,2026-08-18T10:57:36.457Z,scored,,3.260,6.20,6.20,f,100%,model,
angela-deem,2.5,f,white,train,angela-deem/4.jpg,images/roster/angela-deem/4.jpg,4.jpg,2026-08-18T10:57:36.649Z,scored,,3.180,6.12,6.12,f,100%,model,
anna-henrietta,7.5,f,white,holdout,anna-henrietta/1.jpg,images/roster/anna-henrietta/1.jpg,1.jpg,2026-08-18T10:57:36.847Z,scored,,3.679,6.62,6.62,f,100%,model,non-standard framing (head turned (~22°)) — scored on your override; expect a rougher read.
anna-henrietta,7.5,f,white,holdout,anna-henrietta/2.jpg,images/roster/anna-henrietta/2.jpg,2.jpg,2026-08-18T10:57:37.041Z,refused,This angle is too far off to measure — head turned (~32°); head tilted sideways (~12°). Retake facing the camera square-on.,,,,,,,
anna-henrietta,7.5,f,white,holdout,anna-henrietta/3.jpg,images/roster/anna-henrietta/3.jpg,3.jpg,2026-08-18T10:57:37.593Z,refused,This angle is too far off to measure — head turned (~28°); head tilted sideways (~21°). Retake facing the camera square-on.,,,,,,,
anna-henrietta,7.5,f,white,holdout,anna-henrietta/4.jpg,images/roster/anna-henrietta/4.jpg,4.jpg,2026-08-18T10:57:38.137Z,refused,This angle is too far off to measure — head turned (~33°). Retake facing the camera square-on.,,,,,,,
anna-henrietta,7.5,f,white,holdout,anna-henrietta/5.jpg,images/roster/anna-henrietta/5.jpg,5.jpg,2026-08-18T10:57:38.693Z,scored,,3.683,6.63,6.63,f,100%,model,non-standard framing (head turned (~14°); head tilted sideways (~22°)) — scored on your override; expect a rougher read.
anna-sorokin,5.5,f,white,holdout,anna-sorokin/1.jpg,images/roster/anna-sorokin/1.jpg,1.jpg,2026-08-18T10:57:38.884Z,scored,,3.718,6.67,6.67,f,100%,model,non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read.
anna-sorokin,5.5,f,white,holdout,anna-sorokin/2.jpg,images/roster/anna-sorokin/2.jpg,2.jpg,2026-08-18T10:57:39.094Z,scored,,3.476,6.41,6.41,f,100%,model,
anna-sorokin,5.5,f,white,holdout,anna-sorokin/3.jpg,images/roster/anna-sorokin/3.jpg,3.jpg,2026-08-18T10:57:39.311Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
anna-sorokin,5.5,f,white,holdout,anna-sorokin/4.jpg,images/roster/anna-sorokin/4.jpg,4.jpg,2026-08-18T10:57:39.871Z,scored,,4.189,8.01,8.01,f,100%,model,
anne-hathaway,8.3,f,white,train,anne-hathaway/2.jpg,images/roster/anne-hathaway/2.jpg,2.jpg,2026-08-18T10:57:40.063Z,scored,,3.798,6.78,6.78,f,100%,model,"small/distant face (~97px of real detail) — score is rougher than a tight, sharp headshot."
anne-hathaway,8.3,f,white,train,anne-hathaway/4.jpg,images/roster/anne-hathaway/4.jpg,4.jpg,2026-08-18T10:57:40.315Z,scored,,3.912,6.99,6.99,f,100%,model,
anne-hathaway,8.3,f,white,train,anne-hathaway/5.jpg,images/roster/anne-hathaway/5.jpg,5.jpg,2026-08-18T10:57:40.517Z,scored,,3.762,6.73,6.73,f,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
anne-hathaway,8.3,f,white,train,anne-hathaway/6.jpg,images/roster/anne-hathaway/6.jpg,6.jpg,2026-08-18T10:57:40.732Z,scored,,3.699,6.65,6.65,f,99%,model,
anne-hathaway,8.3,f,white,train,anne-hathaway/7.jpg,images/roster/anne-hathaway/7.jpg,7.jpg,2026-08-18T10:57:40.933Z,scored,,4.400,8.97,8.97,f,100%,model,
armie-hammer,8.0,m,white,train,armie-hammer/1.jpg,images/roster/armie-hammer/1.jpg,1.jpg,2026-08-18T10:57:41.124Z,scored,,4.074,7.52,7.52,m,100%,model,non-standard framing (head turned (~23°)) — scored on your override; expect a rougher read.
armie-hammer,8.0,m,white,train,armie-hammer/3.jpg,images/roster/armie-hammer/3.jpg,3.jpg,2026-08-18T10:57:41.319Z,scored,,3.278,6.22,6.22,m,100%,model,
armie-hammer,8.0,m,white,train,armie-hammer/4.jpg,images/roster/armie-hammer/4.jpg,4.jpg,2026-08-18T10:57:41.504Z,scored,,4.044,7.42,7.42,m,100%,model,"small/distant face (~61px of real detail) — score is rougher than a tight, sharp headshot."
armie-hammer,8.0,m,white,train,armie-hammer/5.jpg,images/roster/armie-hammer/5.jpg,5.jpg,2026-08-18T10:57:41.696Z,scored,,3.378,6.31,6.31,m,99%,model,non-standard framing (head tilted sideways (~10°)) — scored on your override; expect a rougher read.
armie-hammer,8.0,m,white,train,armie-hammer/6.jpg,images/roster/armie-hammer/6.jpg,6.jpg,2026-08-18T10:57:41.880Z,scored,,3.858,6.89,6.89,m,100%,model,
asmr-darling,7.4,f,white,train,asmr-darling/1.jpg,images/roster/asmr-darling/1.jpg,1.jpg,2026-08-18T10:57:42.071Z,scored,,3.440,6.37,6.37,f,99%,model,non-standard framing (head turned (~17°)) — scored on your override; expect a rougher read.
asmr-darling,7.4,f,white,train,asmr-darling/2.jpg,images/roster/asmr-darling/2.jpg,2.jpg,2026-08-18T10:57:42.287Z,scored,,3.303,6.24,6.24,f,100%,model,non-standard framing (head tilted sideways (~23°)) — scored on your override; expect a rougher read.
asmr-darling,7.4,f,white,train,asmr-darling/5.jpg,images/roster/asmr-darling/5.jpg,5.jpg,2026-08-18T10:57:42.474Z,scored,,2.288,3.09,3.09,f,100%,model,non-standard framing (head turned (~18°); head tilted sideways (~11°)) — scored on your override; expect a rougher read.
aubrey-oday,5.5,f,white,validation,aubrey-oday/2.jpg,images/roster/aubrey-oday/2.jpg,2.jpg,2026-08-18T10:57:42.674Z,scored,,3.913,6.99,6.99,f,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
aubrey-oday,5.5,f,white,validation,aubrey-oday/4.jpg,images/roster/aubrey-oday/4.jpg,4.jpg,2026-08-18T10:57:42.883Z,scored,,4.247,8.28,8.28,f,100%,model,
aubrey-oday,5.5,f,white,validation,aubrey-oday/5.jpg,images/roster/aubrey-oday/5.jpg,5.jpg,2026-08-18T10:57:43.081Z,scored,,4.214,8.15,8.15,f,100%,model,
awkwafina,5.4,f,east-asian,validation,awkwafina/1.jpg,images/roster/awkwafina/1.jpg,1.jpg,2026-08-18T10:57:43.273Z,scored,,2.971,5.82,5.82,f,100%,model,
awkwafina,5.4,f,east-asian,validation,awkwafina/2.jpg,images/roster/awkwafina/2.jpg,2.jpg,2026-08-18T10:57:43.475Z,scored,,2.608,4.31,4.31,f,100%,model,non-standard framing (head turned (~12°)) — scored on your override; expect a rougher read.
azealia-banks,6.0,f,black,validation,azealia-banks/2.jpg,images/roster/azealia-banks/2.jpg,2.jpg,2026-08-18T10:57:43.675Z,scored,,2.895,5.65,5.65,f,100%,model,
azealia-banks,6.0,f,black,validation,azealia-banks/3.jpg,images/roster/azealia-banks/3.jpg,3.jpg,2026-08-18T10:57:43.886Z,scored,,3.392,6.33,6.33,f,100%,model,"small/distant face (~134px of real detail) — score is rougher than a tight, sharp headshot."
azealia-banks,6.0,f,black,validation,azealia-banks/4.jpg,images/roster/azealia-banks/4.jpg,4.jpg,2026-08-18T10:57:44.078Z,scored,,2.355,3.31,3.31,f,100%,model,
azealia-banks,6.0,f,black,validation,azealia-banks/5.jpg,images/roster/azealia-banks/5.jpg,5.jpg,2026-08-18T10:57:44.273Z,refused,This angle is too far off to measure — head turned (~29°); head tilted sideways (~11°). Retake facing the camera square-on.,,,,,,,
azealia-banks,6.0,f,black,validation,azealia-banks/6.jpg,images/roster/azealia-banks/6.jpg,6.jpg,2026-08-18T10:57:44.821Z,scored,,2.638,4.47,4.47,f,100%,model,
bad-bunny,6.5,m,latino,train,bad-bunny/1.jpg,images/roster/bad-bunny/1.jpg,1.jpg,2026-08-18T10:57:45.024Z,scored,,3.666,6.61,6.61,m,100%,model,
bad-bunny,6.5,m,latino,train,bad-bunny/2.jpg,images/roster/bad-bunny/2.jpg,2.jpg,2026-08-18T10:57:45.219Z,scored,,3.505,6.43,6.43,m,100%,model,non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read.
bad-bunny,6.5,m,latino,train,bad-bunny/3.jpg,images/roster/bad-bunny/3.jpg,3.jpg,2026-08-18T10:57:45.417Z,scored,,3.908,6.98,6.98,m,100%,model,
bad-bunny,6.5,m,latino,train,bad-bunny/4.jpg,images/roster/bad-bunny/4.jpg,4.jpg,2026-08-18T10:57:45.612Z,scored,,4.261,8.35,8.35,m,100%,model,
bad-bunny,6.5,m,latino,train,bad-bunny/5.jpg,images/roster/bad-bunny/5.jpg,5.jpg,2026-08-18T10:57:45.814Z,refused,This angle is too far off to measure — head turned (~34°). Retake facing the camera square-on.,,,,,,,
barack-obama,7.1,m,mixed,train,barack-obama/1.jpg,images/roster/barack-obama/1.jpg,1.jpg,2026-08-18T10:57:46.376Z,scored,,3.260,6.20,6.20,m,100%,model,
barack-obama,7.1,m,mixed,train,barack-obama/2.jpg,images/roster/barack-obama/2.jpg,2.jpg,2026-08-18T10:57:46.563Z,scored,,2.810,5.37,5.37,m,100%,model,non-standard framing (head tilted sideways (~12°)) — scored on your override; expect a rougher read.
barack-obama,7.1,m,mixed,train,barack-obama/3.jpg,images/roster/barack-obama/3.jpg,3.jpg,2026-08-18T10:57:46.759Z,scored,,3.218,6.16,6.16,m,100%,model,
bella-hadid,9.3,f,mixed,train,bella-hadid/1.jpg,images/roster/bella-hadid/1.jpg,1.jpg,2026-08-18T10:57:46.963Z,scored,,3.789,6.77,6.77,f,100%,model,"small/distant face (~70px of real detail) — score is rougher than a tight, sharp headshot."
bella-hadid,9.3,f,mixed,train,bella-hadid/2.jpg,images/roster/bella-hadid/2.jpg,2.jpg,2026-08-18T10:57:47.155Z,refused,This angle is too far off to measure — head turned (~26°). Retake facing the camera square-on.,,,,,,,
bella-thorne,7.5,f,latino,train,bella-thorne/5.jpg,images/roster/bella-thorne/5.jpg,5.jpg,2026-08-18T10:57:47.724Z,scored,,3.729,6.69,6.69,f,100%,model,"small/distant face (~171px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~13°)) — scored on your override; expect a rougher read."
bella-thorne,7.5,f,latino,train,bella-thorne/6.jpg,images/roster/bella-thorne/6.jpg,6.jpg,2026-08-18T10:57:47.927Z,scored,,3.714,6.67,6.67,f,100%,model,
bella-thorne,7.5,f,latino,train,bella-thorne/7.jpg,images/roster/bella-thorne/7.jpg,7.jpg,2026-08-18T10:57:48.141Z,refused,This angle is too far off to measure — head turned (~26°). Retake facing the camera square-on.,,,,,,,
bella-thorne,7.5,f,latino,train,bella-thorne/8.jpg,images/roster/bella-thorne/8.jpg,8.jpg,2026-08-18T10:57:48.716Z,scored,,4.285,8.49,8.49,f,100%,model,
bella-thorne,7.5,f,latino,train,bella-thorne/9.jpg,images/roster/bella-thorne/9.jpg,9.jpg,2026-08-18T10:57:48.916Z,scored,,3.038,5.93,5.93,f,100%,model,
ben-shapiro,5.0,m,white,validation,ben-shapiro/1.jpg,images/roster/ben-shapiro/1.jpg,1.jpg,2026-08-18T10:57:49.117Z,scored,,3.978,7.17,7.17,m,100%,model,
ben-shapiro,5.0,m,white,validation,ben-shapiro/2.jpg,images/roster/ben-shapiro/2.jpg,2.jpg,2026-08-18T10:57:49.309Z,scored,,3.016,5.90,5.90,m,100%,model,"small/distant face (~106px of real detail) — score is rougher than a tight, sharp headshot."
ben-shapiro,5.0,m,white,validation,ben-shapiro/4.jpg,images/roster/ben-shapiro/4.jpg,4.jpg,2026-08-18T10:57:49.501Z,refused,This angle is too far off to measure — head turned (~38°). Retake facing the camera square-on.,,,,,,,
ben-shapiro,5.0,m,white,validation,ben-shapiro/5.jpg,images/roster/ben-shapiro/5.jpg,5.jpg,2026-08-18T10:57:50.056Z,scored,,4.060,7.48,7.48,m,100%,model,
ben-shapiro,5.0,m,white,validation,ben-shapiro/6.jpg,images/roster/ben-shapiro/6.jpg,6.jpg,2026-08-18T10:57:50.248Z,scored,,4.265,8.37,8.37,m,100%,model,
beyonce,8.9,f,black,validation,beyonce/1.jpg,images/roster/beyonce/1.jpg,1.jpg,2026-08-18T10:57:50.486Z,scored,,3.101,6.02,6.02,f,100%,model,
beyonce,8.9,f,black,validation,beyonce/2.jpg,images/roster/beyonce/2.jpg,2.jpg,2026-08-18T10:57:50.707Z,scored,,3.665,6.61,6.61,f,100%,model,
beyonce,8.9,f,black,validation,beyonce/3.jpg,images/roster/beyonce/3.jpg,3.jpg,2026-08-18T10:57:50.923Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
beyonce,8.9,f,black,validation,beyonce/4.jpg,images/roster/beyonce/4.jpg,4.jpg,2026-08-18T10:57:51.497Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
bill-gates,3.4,m,white,train,bill-gates/1.jpg,images/roster/bill-gates/1.jpg,1.jpg,2026-08-18T10:57:52.030Z,scored,,2.648,4.53,4.53,m,100%,model,non-standard framing (head tilted sideways (~10°)) — scored on your override; expect a rougher read.
bill-gates,3.4,m,white,train,bill-gates/2.jpg,images/roster/bill-gates/2.jpg,2.jpg,2026-08-18T10:57:52.222Z,scored,,2.885,5.62,5.62,m,100%,model,
bill-gates,3.4,m,white,train,bill-gates/3.jpg,images/roster/bill-gates/3.jpg,3.jpg,2026-08-18T10:57:52.413Z,scored,,3.161,6.10,6.10,m,100%,model,
bill-gates,3.4,m,white,train,bill-gates/4.jpg,images/roster/bill-gates/4.jpg,4.jpg,2026-08-18T10:57:52.601Z,scored,,3.496,6.42,6.42,m,100%,model,non-standard framing (head turned (~15°)) — scored on your override; expect a rougher read.
billie-eilish,7.8,f,white,train,billie-eilish/1.jpg,images/roster/billie-eilish/1.jpg,1.jpg,2026-08-18T10:57:52.801Z,scored,,3.066,5.97,5.97,f,83%,model,
billie-eilish,7.8,f,white,train,billie-eilish/2.jpg,images/roster/billie-eilish/2.jpg,2.jpg,2026-08-18T10:57:52.995Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
billie-eilish,7.8,f,white,train,billie-eilish/3.jpg,images/roster/billie-eilish/3.jpg,3.jpg,2026-08-18T10:57:53.556Z,scored,,3.776,6.75,6.75,f,99%,model,non-standard framing (head turned (~22°)) — scored on your override; expect a rougher read.
billie-eilish,7.8,f,white,train,billie-eilish/4.jpg,images/roster/billie-eilish/4.jpg,4.jpg,2026-08-18T10:57:53.759Z,refused,This angle is too far off to measure — head tilted sideways (~35°). Retake facing the camera square-on.,,,,,,,
billy-mcfarland,5.5,m,white,train,billy-mcfarland/2.jpg,images/roster/billy-mcfarland/2.jpg,2.jpg,2026-08-18T10:57:54.315Z,scored,,3.744,6.71,6.71,m,100%,model,
billy-mcfarland,5.5,m,white,train,billy-mcfarland/3.jpg,images/roster/billy-mcfarland/3.jpg,3.jpg,2026-08-18T10:57:54.504Z,refused,This angle is too far off to measure — head turned (~28°). Retake facing the camera square-on.,,,,,,,
blaire-white,7.0,f,white,train,blaire-white/2.jpg,images/roster/blaire-white/2.jpg,2.jpg,2026-08-18T10:57:55.058Z,scored,,3.283,6.22,6.22,f,100%,model,
blaire-white,7.0,f,white,train,blaire-white/4.jpg,images/roster/blaire-white/4.jpg,4.jpg,2026-08-18T10:57:55.248Z,scored,,2.435,3.59,3.59,f,100%,model,
blaire-white,7.0,f,white,train,blaire-white/5.jpg,images/roster/blaire-white/5.jpg,5.jpg,2026-08-18T10:57:55.453Z,scored,,2.898,5.66,5.66,f,100%,model,
brad-pitt,9.5,m,white,train,brad-pitt/1.jpg,images/roster/brad-pitt/1.jpg,1.jpg,2026-08-18T10:57:55.660Z,scored,,2.534,4.01,4.01,m,100%,model,
brad-pitt,9.5,m,white,train,brad-pitt/6.jpg,images/roster/brad-pitt/6.jpg,6.jpg,2026-08-18T10:57:55.861Z,scored,,2.757,5.11,5.11,m,100%,model,
brad-pitt,9.5,m,white,train,brad-pitt/7.jpg,images/roster/brad-pitt/7.jpg,7.jpg,2026-08-18T10:57:56.064Z,scored,,2.848,5.52,5.52,m,100%,model,
brad-pitt,9.5,m,white,train,brad-pitt/5.jpg,images/roster/brad-pitt/5.jpg,5.jpg,2026-08-18T10:57:56.256Z,scored,,4.177,7.94,7.94,m,100%,model,"small/distant face (~94px of real detail) — score is rougher than a tight, sharp headshot. · non-standard framing (head turned (~15°)) — scored on your override; expect a rougher read."
brad-pitt,9.5,m,white,train,brad-pitt/8.jpg,images/roster/brad-pitt/8.jpg,8.jpg,2026-08-18T10:57:56.457Z,scored,,2.927,5.73,5.73,m,100%,model,
bruno-mars,7.1,m,mixed,validation,bruno-mars/1.jpg,images/roster/bruno-mars/1.jpg,1.jpg,2026-08-18T10:57:56.657Z,refused,This angle is too far off to measure — head turned (~37°). Retake facing the camera square-on.,,,,,,,
bruno-mars,7.1,m,mixed,validation,bruno-mars/2.jpg,images/roster/bruno-mars/2.jpg,2.jpg,2026-08-18T10:57:57.223Z,scored,,3.589,6.52,6.52,m,99%,model,
bruno-mars,7.1,m,mixed,validation,bruno-mars/3.jpg,images/roster/bruno-mars/3.jpg,3.jpg,2026-08-18T10:57:57.421Z,refused,"No face found — try a clearer, front-facing shot.",,,,,,,
bruno-mars,7.1,m,mixed,validation,bruno-mars/4.jpg,images/roster/bruno-mars/4.jpg,4.jpg,2026-08-18T10:57:57.984Z,scored,,2.844,5.51,5.51,f,58%,model,non-standard framing (head turned (~16°); head tilted sideways (~21°)) — scored on your override; expect a rougher read.
callan-exorcist,8.6,f,white,holdout,callan-exorcist/1.jpg,images/roster/callan-exorcist/1.jpg,1.jpg,2026-08-18T10:57:58.180Z,scored,,3.208,6.15,6.15,f,100%,model,non-standard framing (head tilted sideways (~17°)) — scored on your override; expect a rougher read.
callan-exorcist,8.6,f,white,holdout,callan-exorcist/2.jpg,images/roster/callan-exorcist/2.jpg,2.jpg,2026-08-18T10:57:58.388Z,scored,,4.260,8.35,8.35,f,100%,model,"small/distant face (~91px of real detail) — score is rougher than a tight, sharp headshot."
callan-exorcist,8.6,f,white,holdout,callan-exorcist/4.jpg,images/roster/callan-exorcist/4.jpg,4.jpg,2026-08-18T10:57:58.587Z,scored,,4.012,7.29,7.29,f,100%,model,
callan-exorcist,8.6,f,white,holdout,callan-exorcist/5.jpg,images/roster/callan-exorcist/5.jpg,5.jpg,2026-08-18T10:57:58.790Z,refused,This angle is too far off to measure — head turned (~25°); head tilted sideways (~18°). Retake facing the camera square-on.,,,,,,,
